id,home_team_win
0,True
1,False
2,False
3,True
4,True
5,False
6,False
7,True
8,False
9,True
10,True
11,True
12,False
13,False
14,False
15,False
16,False
17,False
18,True
19,False
20,False
21,False
22,False
23,True
24,False
25,False
26,False
27,False
28,True
29,False
30,True
31,False
32,False
33,True
34,True
35,True
36,True
37,False
38,False
39,True
40,True
41,True
42,False
43,False
44,False
45,False
46,False
47,False
48,True
49,True
50,False
51,True
52,False
53,False
54,True
55,True
56,False
57,False
58,True
59,True
60,True
61,False
62,True
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,True
72,True
73,True
74,False
75,False
76,True
77,True
78,False
79,False
80,False
81,False
82,True
83,False
84,False
85,False
86,True
87,False
88,True
89,False
90,False
91,False
92,True
93,False
94,False
95,False
96,False
97,False
98,True
99,True
100,True
101,False
102,False
103,True
104,True
105,False
106,True
107,False
108,True
109,False
110,True
111,False
112,True
113,False
114,True
115,False
116,False
117,False
118,False
119,False
120,True
121,False
122,False
123,False
124,True
125,False
126,True
127,False
128,True
129,False
130,False
131,False
132,False
133,True
134,False
135,True
136,True
137,False
138,True
139,False
140,False
141,False
142,False
143,True
144,True
145,False
146,False
147,False
148,False
149,False
150,False
151,False
152,False
153,False
154,False
155,False
156,False
157,False
158,True
159,False
160,False
161,False
162,False
163,False
164,False
165,False
166,False
167,True
168,False
169,False
170,True
171,False
172,True
173,True
174,True
175,False
176,False
177,False
178,True
179,False
180,False
181,False
182,False
183,False
184,False
185,True
186,False
187,False
188,False
189,False
190,False
191,True
192,False
193,False
194,False
195,False
196,True
197,False
198,True
199,False
200,False
201,False
202,False
203,True
204,False
205,True
206,False
207,True
208,False
209,True
210,False
211,False
212,False
213,True
214,False
215,True
216,True
217,False
218,False
219,False
220,False
221,False
222,False
223,False
224,False
225,False
226,False
227,False
228,True
229,True
230,False
231,False
232,False
233,False
234,False
235,False
236,False
237,False
238,False
239,False
240,False
241,False
242,False
243,True
244,False
245,False
246,False
247,False
248,False
249,True
250,False
251,False
252,False
253,False
254,True
255,True
256,False
257,True
258,False
259,True
260,True
261,False
262,True
263,False
264,True
265,False
266,True
267,False
268,True
269,True
270,True
271,False
272,False
273,False
274,False
275,False
276,True
277,False
278,False
279,False
280,False
281,False
282,True
283,True
284,False
285,False
286,True
287,False
288,True
289,True
290,False
291,False
292,True
293,False
294,True
295,False
296,True
297,False
298,True
299,False
300,True
301,False
302,False
303,True
304,False
305,True
306,False
307,False
308,True
309,False
310,True
311,False
312,False
313,False
314,False
315,False
316,False
317,True
318,False
319,False
320,False
321,False
322,False
323,True
324,True
325,False
326,True
327,False
328,False
329,True
330,True
331,True
332,False
333,False
334,False
335,False
336,True
337,False
338,True
339,True
340,False
341,False
342,False
343,True
344,False
345,False
346,False
347,False
348,False
349,True
350,False
351,True
352,False
353,True
354,False
355,False
356,True
357,False
358,True
359,False
360,False
361,True
362,False
363,False
364,False
365,False
366,True
367,False
368,False
369,True
370,False
371,True
372,False
373,False
374,False
375,False
376,False
377,True
378,True
379,False
380,False
